id,scope,title,type,modifiedAt,modifiedBy,size
doc-g-1,global,Charte informatique IKA Solution.pdf,pdf,2026-06-20,RSSI,"1,4 Mo"
doc-g-2,global,Guide du nouvel arrivant.docx,docx,2026-06-05,RH,820 Ko
doc-g-3,global,Politique de télétravail.pdf,pdf,2026-05-30,RH,610 Ko
doc-g-4,global,Annuaire interne.xlsx,xlsx,2026-06-28,RH,210 Ko
doc-comp-1,comptabilite,Bilan 2025 - version finale.xlsx,xlsx,2026-06-29,Awa Kaboré,"3,1 Mo"
doc-comp-2,comptabilite,Liasse fiscale 2025.pdf,pdf,2026-06-25,Expert-comptable,"2,4 Mo"
doc-comp-3,comptabilite,Suivi factures fournisseurs.xlsx,xlsx,2026-06-30,Service comptabilité,740 Ko
doc-comp-4,comptabilite,Modèle note de frais 2026.docx,docx,2026-06-12,Contrôle de gestion,180 Ko
doc-comp-5,comptabilite,Reporting budget T2.xlsx,xlsx,2026-06-18,Contrôle de gestion,"1,8 Mo"
doc-admin-1,administration,Modèle contrat à durée indéterminée.docx,docx,2026-06-22,RH,260 Ko
doc-admin-2,administration,Règlement intérieur 2026.pdf,pdf,2026-06-10,Direction RH,780 Ko
doc-admin-3,administration,Suivi des congés.xlsx,xlsx,2026-06-30,RH,320 Ko
doc-admin-4,administration,Compte-rendu CSE juin 2026.docx,docx,2026-06-15,CSE,150 Ko
doc-admin-5,administration,Politique de recrutement.pdf,pdf,2026-05-28,Direction RH,"1,1 Mo"
doc-com-1,commerciaux,Catalogue services 2026.pdf,pdf,2026-06-20,Marketing,"5,2 Mo"
doc-com-2,commerciaux,Pipeline T3 - synthèse.xlsx,xlsx,2026-06-27,Direction Commerciale,"1,9 Mo"
doc-com-3,commerciaux,Gabarit proposition commerciale.docx,docx,2026-06-14,Avant-vente,410 Ko
doc-com-4,commerciaux,Tableau objectifs & commissions.xlsx,xlsx,2026-06-25,Direction Commerciale,520 Ko
doc-com-5,commerciaux,Analyse concurrentielle 2026.pptx,pptx,2026-06-08,Marketing,"6,4 Mo"
doc-tech-1,techniciens,Runbook supervision - v2.pdf,pdf,2026-06-23,Référent technique,"2,0 Mo"
doc-tech-2,techniciens,Procédure intervention client.docx,docx,2026-06-16,Exploitation,330 Ko
doc-tech-3,techniciens,Inventaire parc matériel.xlsx,xlsx,2026-06-29,Responsable parc,460 Ko
doc-tech-4,techniciens,Base de connaissance (lien).link,link,2026-06-21,Référent technique,
doc-tech-5,techniciens,Planning astreintes été.xlsx,xlsx,2026-06-07,Responsable exploitation,120 Ko
